,Date,Region,Community,Turbidity(NTU),Ecoli_Count(CFU/100ml),Nitrate(mg/L),pH,Cholera_Cases,Typhoid_Cases,Diarrhea_Cases,Total_Waterborne_Cases,Risk_Level,Year,Month,Quarter,Time_Since_Start,Season
0,2019-01-01,Urban Slum,Makoko,5.75,97,23.24,7.26,2.0,3.0,4.0,9.0,Medium,2019,1,1,0,Dry
1,2019-04-01,Urban Slum,Makoko,5.36,61,11.38,6.63,3.0,2.0,2.0,7.0,Medium,2019,4,2,90,Rainy
3,2019-11-01,Urban Slum,Makoko,3.49,68,23.87,6.64,3.0,1.0,3.0,7.0,Medium,2019,11,4,304,Dry
4,2019-01-15,Urban Slum,Makoko,5.87,117,24.47,7.03,5.0,2.0,9.0,16.0,High,2019,1,1,14,Dry
5,2019-01-18,Urban Slum,Makoko,1.07,116,20.44,6.71,7.0,4.0,8.0,19.0,High,2019,1,1,17,Dry
6,2019-01-22,Urban Slum,Makoko,4.41,70,21.48,6.88,0.0,2.0,3.0,5.0,Medium,2019,1,1,21,Dry
7,2019-01-25,Urban Slum,Makoko,7.83,103,21.29,6.78,5.0,2.0,4.0,11.0,High,2019,1,1,24,Dry
9,2019-01-02,Urban Slum,Makoko,3.83,93,24.07,6.43,7.0,6.0,2.0,15.0,High,2019,1,1,1,Dry
10,2019-05-02,Urban Slum,Makoko,5.44,85,29.33,6.94,6.0,3.0,4.0,13.0,High,2019,5,2,121,Rainy
11,2019-08-02,Urban Slum,Makoko,5.42,116,20.07,7.24,5.0,6.0,9.0,20.0,High,2019,8,3,213,Rainy
12,2019-12-02,Urban Slum,Makoko,6.07,101,23.15,7.33,8.0,7.0,7.0,22.0,High,2019,12,4,335,Dry
13,2019-02-15,Urban Slum,Makoko,4.27,101,31.57,6.24,3.0,3.0,3.0,9.0,Medium,2019,2,1,45,Dry
16,2019-02-26,Urban Slum,Makoko,4.64,137,19.9,6.52,6.0,6.0,6.0,18.0,High,2019,2,1,56,Dry
17,2019-01-03,Urban Slum,Makoko,8.2,60,19.24,6.98,4.0,0.0,2.0,6.0,Medium,2019,1,1,2,Dry
18,2019-05-03,Urban Slum,Makoko,6.33,90,16.89,6.69,10.0,5.0,6.0,21.0,High,2019,5,2,122,Rainy
19,2019-08-03,Urban Slum,Makoko,4.64,117,18.64,6.62,11.0,2.0,4.0,17.0,High,2019,8,3,214,Rainy
20,2019-12-03,Urban Slum,Makoko,5.92,127,17.83,6.86,7.0,6.0,4.0,17.0,High,2019,12,4,336,Dry
21,2019-03-15,Urban Slum,Makoko,3.98,99,26.36,7.03,7.0,3.0,6.0,16.0,High,2019,3,1,73,Dry
22,2019-03-19,Urban Slum,Makoko,8.23,84,24.36,6.86,6.0,2.0,6.0,14.0,High,2019,3,1,77,Dry
23,2019-03-22,Urban Slum,Makoko,5.86,119,23.71,7.24,4.0,5.0,6.0,15.0,High,2019,3,1,80,Dry
